user_id,pay_days,repay_days
337746095,10,19
337757890,10,10
337808350,15,17
337808352,15,18
337808355,15,15
337808378,15,15
337840153,10,10
337842605,30,30
337853570,10,27
337910614,10,11
337925907,30,67
337927285,15,16
337935629,10,54
337935691,10,10
337938581,15,16
338015565,10,40
338038590,10,10
338044098,30,61
338060976,15,44
338061527,10,13
338082834,90,90
338141538,30,30
338143565,10,75
338143582,10,14
338147772,15,16
338148963,30,40
338156360,90,90
338156363,10,63
338156371,10,11
338156391,10,13
338157460,30,30
338175802,15,15
338175844,30,30
338175999,30,30
338179362,30,52
338181318,10,35
338187360,90,95
338198063,10,10
338201158,10,10
338206563,10,10
338212930,10,53
338223481,15,27
338224008,10,13
338225071,30,30
338251988,15,16
338275669,30,32
338288568,30,30
338401514,10,60
338401515,30,30
338413640,15,21
338413859,10,13
338414136,10,88
338420419,10,14
338424200,30,30
338426702,30,31
338426751,10,27
338426862,10,54
338426898,10,10
338426901,30,72
338427311,15,16
338427446,30,30
338436584,10,10
338439242,15,21
338439251,30,76
338446771,30,38
338449832,10,27
338464591,15,15
338468680,15,16
338469736,15,16
338469759,10,16
338470061,15,15
338471384,10,10
338471421,30,30
338479625,10,15
338490659,15,15
338496264,15,31
338501620,15,15
338518409,30,34
338524431,10,18
338524519,30,30
338524533,15,17
338524536,10,10
338524892,15,15
338526314,10,31
338526499,15,16
338526525,30,34
338526532,10,10
338527004,10,21
338534078,30,31
338566882,10,90
338584848,10,10
338593709,30,31
338594981,15,30
338595602,30,63
338599447,30,31
338604014,30,30
338605590,30,34
338605609,15,34
338609521,30,69
338611020,15,41
338617155,10,39
338621203,10,56
338634089,30,31
338634453,10,21
338636041,10,10
338639685,10,10
338655857,15,15
338655866,10,101
338663877,15,15
338668724,30,30
338668728,30,31
338668742,15,15
338668758,15,16
338673336,15,15
338673395,10,10
338702699,10,23
338708157,15,15
338720216,15,21
338726137,10,15
338732825,10,114
338733312,15,15
338735496,15,19
338735522,15,18
338744350,30,30
338744443,15,15
338747207,10,34
338747889,15,18
338748505,30,30
338763961,30,30
338776084,30,35
338783406,30,32
338785006,10,41
338793061,10,39
338793654,30,30
338795100,15,20
338795210,30,30
338795985,10,10
338796140,10,88
338805404,30,31
338805426,10,127
338814124,10,109
338817727,10,76
338818967,30,30
338820143,15,26
338820527,15,15
338821775,10,22
338823630,30,30
338827355,30,68
338837383,10,50
338841050,30,30
338848686,15,22
338849299,10,12
338857788,30,30
338863626,10,30
338865723,30,32
338870830,10,14
338870846,10,33
338883773,10,10
338890161,15,29
338892628,30,30
338892681,15,15
338908997,10,17
338909014,10,63
338909041,10,72
338910272,15,16
338924428,15,15
338924661,30,30
338931591,30,102
338932106,15,20
338949444,90,90
338949682,10,10
338962311,30,30
338963305,15,15
338967504,30,34
338969067,10,10
338986885,30,34
338987312,10,38
338993043,10,10
339007465,10,10
339012260,30,30
339020223,15,15
339025587,30,30
339033616,30,34
339034109,15,19
339038644,15,28
339040228,10,38
339046302,30,30
339048528,10,10
339076364,15,16
339076564,10,11
339083681,30,32
339090511,10,103
339095667,30,30
339095691,10,56
339098512,30,30
339124513,30,30
339125593,15,24
339132392,10,10
339132468,15,15
339137040,30,30
339145136,10,16
339150887,10,74
339150979,30,30
339158821,10,73
339168498,15,16
339170485,15,15
339193734,10,32
339193735,10,89
339194001,30,120
339194085,10,51
339198796,30,33
339199878,30,31
339204972,30,31
339208458,15,15
339208594,15,26
339208667,15,31
339211723,15,15
339220774,15,15
339233342,15,15
339237462,10,10
339240708,30,30
339244173,30,30
339252802,30,37
339275494,10,15
339305828,30,30
339311655,30,30
339313609,30,30
339316704,10,29
339330587,10,10
339332952,15,15
339336212,30,40
339341357,15,19
339342541,15,23
339342567,15,18
339344128,10,67
339346278,15,16
339346516,15,16
339349095,15,15
339352520,15,19
339354104,15,15
339354107,10,12
339372475,90,90
339372500,15,15
339373251,10,94
339373266,15,24
339375240,15,15
339378975,15,15
339382711,10,63
339382723,10,14
339383532,30,32
339383802,15,17
339385384,15,15
339385605,30,46
339385789,30,30
339399014,30,46
339403201,15,15
339404021,10,13
339406563,30,30
339406739,10,10
339411392,30,103
339421530,15,16
339421548,10,22
339441022,30,36
339441333,30,35
339449576,10,41
339454257,10,15
339456468,30,31
339471474,30,55
339492832,30,30
339493474,15,15
339496326,10,12
339496715,10,10
339496764,10,49
339503072,10,10
339510719,15,15
339525541,10,10
339531815,10,77
339536343,30,31
339553087,30,40
339554332,15,16
339560160,10,19
339581155,15,15
339581220,15,15
339590570,10,19
339595346,10,79
339620459,10,10
339633645,10,20
339676730,15,16
339691863,30,30
339697215,30,33
339701649,30,41
339705706,15,21
339705847,30,30
339735093,90,90
339735702,10,20
339737213,10,10
339746688,15,16
339758391,30,31
339764345,10,10
339765019,30,30
339768121,15,28
339770046,15,19
339772632,15,15
339784520,15,15
339787708,10,66
339791696,30,60
339791947,15,35
339792269,10,20
339798271,90,90
339804081,10,10
339857021,15,16
339857432,30,34
339857438,10,99
339857439,30,68
339858563,30,39
339860338,10,13
339878519,30,30
339896540,30,31
339909610,10,41
339911334,15,16
339916398,30,30
339916911,90,90
339917443,30,30
339917498,10,84
339917757,30,30
339918456,10,83
339922048,15,16
339941062,15,15
340009460,10,27
340020423,10,17
340027536,15,15
340051075,10,10
340055795,10,10
340056514,30,30
340060392,15,15
340071391,10,40
340074201,30,30
340083861,15,17
340088804,10,14
340106103,30,31
340106104,30,30
340113565,30,56
340117027,30,36
340118170,30,30
340138532,10,39
340152288,30,34
340158783,10,11
340190897,10,34
340201933,10,10
340249782,10,14
340287156,10,40
340299912,15,17
340361529,30,31
340367628,30,30
340371066,30,40
340371071,10,52
340374024,10,12
340380422,10,73
340389809,30,30
340389827,30,30
340408010,30,31
340409219,10,25
340409914,30,39
340412576,30,34
340453088,10,93
340468940,30,36
340470670,10,65
340493391,10,10
340507811,10,82
340510240,30,35
340510266,15,15
340510273,10,49
340512302,10,19
340520408,10,19
340531250,10,10
340533828,15,15
340534427,15,15
340538119,30,75
340538135,15,18
340545602,10,28
340552428,15,15
340559172,10,10
340579437,30,64
340620691,30,30
340625668,10,47
340631059,10,16
340654445,10,12
340673941,10,10
340679293,10,40
340682661,15,16
340697510,10,61
340702798,30,30
340704820,30,30
340705667,10,10
340730353,15,29
340751880,15,19
340804330,30,30
340808223,10,12
340809491,15,15
340813361,15,19
340814889,10,12
340884884,10,15
340884904,10,15
340914955,10,13
340973486,30,52
340988932,30,31
340998671,15,17
340998718,15,18
341000278,10,12
341000579,30,36
341013044,30,30
341141187,10,11
341186085,10,11
341189247,15,15
341198468,15,15
341213932,10,35
341223096,30,32
341225211,10,16
341250682,10,10
341263019,30,30
341268484,10,12
341268808,30,30
341268967,30,34
341273123,30,30
341274009,10,43
341277644,30,34
341277665,30,30
341308186,90,90
341308201,15,23
341308693,10,11
341312895,15,17
341314249,10,10
341316476,15,15
341318084,30,34
341318105,10,34
341324094,30,31
341328163,30,30
341328182,10,41
341342849,30,33
341361220,10,10
341391700,10,43
341433843,10,54
341455481,30,31
341468761,30,30
341468785,10,48
341469123,15,18
341470824,30,33
341474479,10,46
341485371,90,91
341485759,10,10
341486759,10,19
341487191,30,30
341493157,10,23
341496006,10,43
341497908,30,58
341497993,10,24
341498466,90,90
341498484,10,26
341500074,10,54
341506409,30,82
341507001,30,31
341517949,10,13
341519519,15,16
341519672,30,31
341525024,15,15
341528408,30,30
341532990,10,12
341542914,30,30
341552227,10,29
341553276,10,51
341553452,90,90
341553550,30,33
341554362,10,14
341554815,10,11
341557112,15,15
341557681,10,10
341559608,10,10
341560583,15,15
341564069,10,15
341566768,30,72
341568827,10,84
341570128,10,10
341570436,30,42
341571926,10,89
341571935,30,55
341574526,15,16
341576051,10,33
341577444,30,69
341581605,30,34
341584417,30,32
341585355,30,30
341590593,10,10
341591978,30,100
341592607,10,10
341596244,10,12
341597181,10,70
341597642,10,10
341605544,10,20
341605573,15,15
341608318,10,14
341608321,30,30
341611281,30,34
341619270,15,15
341619391,30,30
341622219,10,15
341623616,15,38
341627618,10,53
341631018,10,68
341631035,30,49
341631038,30,35
341631495,15,20
341633384,30,33
341636324,10,10
341640031,10,10
341641880,30,68
341645344,30,30
341647284,15,16
341649950,30,44
341651743,30,54
341660762,30,30
341663498,10,11
341663560,30,38
341671812,10,29
341679947,15,20
341683536,30,30
341686629,10,11
341693987,15,18
341695099,30,34
341696160,30,30
341696168,15,75
341696809,15,15
341700314,30,31
341701439,15,15
341703907,10,22
341706195,10,11
341710055,30,30
341710277,30,76
341715989,10,10
341716064,90,94
341716271,15,15
341716994,15,15
341721464,15,21
341723086,30,31
341725348,15,15
341727242,30,30
341728703,10,18
