,usage,pay
1697,10,27
1698,10,11
1699,10,61
1700,10,83
1701,10,33
1702,10,36
1703,10,16
1704,10,13
1705,10,86
1706,10,63
1707,10,59
1708,10,12
1709,10,11
1710,10,104
1711,90,93
1712,10,9
1713,30,43
1714,10,11
1715,10,13
1716,10,68
1717,10,64
1718,10,10
1719,10,12
1720,30,88
1721,10,15
1722,10,10
1723,10,9
1724,10,16
1725,10,108
1726,30,32
1727,10,21
1728,10,0
1729,10,9
1730,10,84
1731,10,116
1732,10,11
1733,10,24
1734,10,63
1735,10,79
1736,10,15
1737,10,5
1738,10,66
1739,10,63
1740,10,69
1741,10,12
1742,30,32
1743,10,27
1744,30,65
1745,30,46
1746,30,57
1747,10,65
1748,10,10
1749,10,17
1750,10,19
1751,10,31
1752,10,83
1753,90,92
1754,10,12
1755,30,33
1756,30,71
1757,10,10
1758,10,0
1759,10,5
1760,10,30
1761,10,58
1762,10,75
1763,30,35
1764,10,79
1765,10,11
1766,10,0
1767,10,23
1768,30,31
1769,10,17
1770,10,11
1771,10,11
1772,10,12
1773,10,12
1774,30,38
1775,10,15
1776,10,80
1777,30,75
1778,30,75
1779,10,17
1780,10,34
1781,10,13
1782,10,14
1783,10,5
1784,10,65
1785,10,47
1786,10,61
1787,10,0
1788,10,61
1789,10,32
1790,10,12
1791,10,4
1792,30,32
1793,10,14
1794,30,75
1795,30,79
1796,30,96
1797,30,29
1798,10,1
1799,30,106
1800,30,33
1801,90,104
1802,10,89
1803,10,9
1804,10,73
1805,10,97
1806,10,21
1807,10,25
1808,10,14
1809,10,34
1810,10,66
1811,10,14
1812,10,93
1813,10,12
1814,30,1
1815,10,9
1816,90,96
1817,30,30
1818,30,88
1819,10,60
1820,30,92
1821,10,12
1822,10,29
1823,30,90
1824,30,11
1825,10,88
1826,90,98
1827,10,87
1828,10,9
1829,10,14
1830,10,20
1831,10,10
1832,30,77
1833,90,97
1834,10,10
1835,10,23
1836,10,60
1837,10,110
1838,90,91
1839,30,28
1840,10,12
1841,30,75
1842,10,0
1843,10,12
1844,10,82
1845,10,100
1846,10,13
1847,10,9
1848,10,11
1849,30,63
1850,10,12
1851,10,60
1852,30,27
1853,10,8
1854,10,10
1855,30,63
1856,30,61
1857,10,73
1858,10,11
1859,30,44
1860,10,115
1861,10,17
1862,10,10
1863,90,89
1864,30,61
1865,10,40
1866,10,94
1867,30,79
1868,10,113
1869,10,11
1870,90,90
1871,10,2
1872,10,13
1873,10,101
1874,10,90
1875,90,100
1876,30,34
1877,10,10
1878,10,42
1879,10,45
1880,10,19
1881,10,72
1882,10,14
1883,30,63
1884,30,33
1885,10,48
1886,10,17
1887,10,8
1888,10,31
1889,10,10
1890,10,69
1891,10,15
1892,10,20
1893,10,0
1894,10,9
1895,10,10
1896,180,1
1897,10,27
1898,10,61
1899,10,41
1900,10,21
1901,10,14
1902,10,63
1903,10,69
1904,10,9
1905,10,73
1906,10,60
1907,10,12
1908,10,16
1909,10,12
1910,10,14
1911,10,11
1912,30,68
1913,10,3
1914,10,14
1915,10,9
1916,10,11
1917,10,22
1918,10,0
1919,10,103
1920,90,94
1921,10,73
1922,10,17
1923,10,12
1924,10,18
1925,90,89
1926,90,95
1927,10,6
1928,10,7
1929,10,61
1930,10,13
1931,10,93
1932,10,12
1933,90,90
1934,10,13
1935,10,69
1936,10,15
1937,10,83
1938,10,9
1939,10,11
1940,30,32
1941,10,112
1942,10,48
1943,10,68
1944,10,72
1945,10,16
1946,10,10
1947,10,59
1948,30,33
1949,10,11
1950,10,29
1951,10,46
1952,10,61
1953,10,20
1954,10,13
1955,10,11
1956,30,35
1957,10,11
1958,10,68
1959,10,37
1960,10,0
1961,30,67
1962,10,34
1963,10,70
1964,10,8
1965,10,40
1966,10,23
1967,10,18
1968,10,11
1969,30,36
1970,10,6
1971,10,0
1972,10,12
1973,10,67
1974,10,94
1975,30,62
1976,10,13
1977,10,11
1978,10,9
1979,10,0
1980,10,62
1981,10,10
1982,10,11
1983,90,106
1984,10,60
1985,10,32
1986,10,11
1987,10,31
1988,10,28
1989,30,68
1990,90,94
1991,10,12
1992,10,35
1993,30,33
1994,10,11
1995,30,31
1996,10,24
1997,10,11
1998,10,13
1999,10,74
2000,10,88
2001,10,64
2002,10,40
2003,10,2
2004,10,52
2005,30,88
2006,10,10
2007,10,12
2008,10,19
2009,30,32
2010,10,7
2011,10,100
2012,10,8
2013,30,33
2014,10,0
2015,30,115
2016,30,32
2017,10,81
2018,10,10
2019,90,93
2020,30,103
2021,10,41
2022,10,11
2023,10,11
2024,10,11
2025,10,80
2026,10,70
2027,10,66
2028,10,0
2029,10,49
2030,10,12
2031,10,61
2032,10,12
2033,10,8
2034,30,28
2035,10,75
2036,30,61
2037,10,93
2038,10,22
2039,90,104
2040,90,47
2041,30,40
2042,10,10
2043,10,24
2044,30,30
2045,10,11
2046,10,70
2047,30,28
2048,10,13
2049,30,113
2050,10,12
2051,90,103
2052,10,0
2053,10,92
2054,10,104
2055,10,11
2056,10,12
2057,10,7
2058,10,12
2059,10,61
2060,30,33
2061,10,9
2062,10,4
2063,30,36
2064,10,39
2065,10,0
2066,30,29
2067,10,114
2068,10,69
2069,10,85
2070,30,27
2071,10,10
2072,10,58
2073,10,13
2074,30,29
2075,10,27
2076,30,60
2077,30,35
2078,10,85
2079,10,64
2080,30,0
2081,10,84
2082,10,78
2083,10,26
2084,10,17
2085,10,19
2086,10,41
2087,30,58
2088,10,13
2089,10,66
2090,10,60
2091,10,13
2092,30,116
2093,10,64
2094,10,8
2095,10,56
2096,10,65
2097,10,60
2098,90,94
2099,10,7
2100,10,81
2101,90,92
2102,10,58
2103,10,0
2104,10,14
2105,90,106
2106,10,61
2107,10,1
2108,10,17
2109,10,41
2110,10,10
2111,30,62
2112,10,10
2113,10,16
2114,10,11
2115,30,0
2116,10,1
2117,10,62
2118,10,70
2119,10,24
2120,10,13
2121,30,31
2122,10,11
2123,10,12
2124,90,54
2125,90,94
2126,10,13
2127,90,95
2128,10,13
2129,10,10
2130,30,33
2131,10,82
2132,10,76
2133,10,28
2134,30,32
2135,90,77
2136,10,11
2137,10,35
